,Date,HomeTeam,AwayTeam,FTHG,FTAG,Referee
0,12/09/2020,Fulham,Arsenal,0,3,C Kavanagh
1,12/09/2020,Crystal Palace,Southampton,1,0,J Moss
2,12/09/2020,Liverpool,Leeds,4,3,M Oliver
3,12/09/2020,West Ham,Newcastle,0,2,S Attwell
4,13/09/2020,West Brom,Leicester,0,3,A Taylor
5,13/09/2020,Tottenham,Everton,0,1,M Atkinson
6,14/09/2020,Brighton,Chelsea,1,3,C Pawson
7,14/09/2020,Sheffield United,Wolves,0,2,M Dean
8,19/09/2020,Everton,West Brom,5,2,M Dean
9,19/09/2020,Leeds,Fulham,4,3,A Taylor
10,19/09/2020,Man United,Crystal Palace,1,3,M Atkinson
11,19/09/2020,Arsenal,West Ham,2,1,M Oliver
12,20/09/2020,Southampton,Tottenham,2,5,D Coote
13,20/09/2020,Newcastle,Brighton,0,3,K Friend
14,20/09/2020,Chelsea,Liverpool,0,2,P Tierney
15,20/09/2020,Leicester,Burnley,4,2,L Mason
16,21/09/2020,Aston Villa,Sheffield United,1,0,G Scott
17,21/09/2020,Wolves,Man City,1,3,A Marriner
18,26/09/2020,Brighton,Man United,2,3,C Kavanagh
19,26/09/2020,Crystal Palace,Everton,1,2,K Friend
20,26/09/2020,West Brom,Chelsea,3,3,J Moss
21,26/09/2020,Burnley,Southampton,0,1,A Marriner
22,27/09/2020,Sheffield United,Leeds,0,1,P Tierney
23,27/09/2020,Tottenham,Newcastle,1,1,P Bankes
24,27/09/2020,Man City,Leicester,2,5,M Oliver
25,27/09/2020,West Ham,Wolves,4,0,M Atkinson
26,28/09/2020,Fulham,Aston Villa,0,3,S Attwell
27,28/09/2020,Liverpool,Arsenal,3,1,C Pawson
28,03/10/2020,Chelsea,Crystal Palace,4,0,M Oliver
29,03/10/2020,Everton,Brighton,4,2,S Hooper
30,03/10/2020,Leeds,Man City,1,1,M Dean
31,03/10/2020,Newcastle,Burnley,3,1,D Coote
32,04/10/2020,Leicester,West Ham,0,3,A Madley
33,04/10/2020,Southampton,West Brom,2,0,C Kavanagh
34,04/10/2020,Arsenal,Sheffield United,2,1,L Mason
