,Date,HomeTeam,AwayTeam,FTHG,FTAG,Referee
35,04/10/2020,Wolves,Fulham,1,0,D England
36,04/10/2020,Man United,Tottenham,1,6,A Taylor
37,04/10/2020,Aston Villa,Liverpool,7,2,M Atkinson
38,17/10/2020,Everton,Liverpool,2,2,M Oliver
39,17/10/2020,Chelsea,Southampton,3,3,P Bankes
40,17/10/2020,Man City,Arsenal,1,0,C Kavanagh
41,17/10/2020,Newcastle,Man United,1,4,C Pawson
42,18/10/2020,Sheffield United,Fulham,1,1,A Marriner
43,18/10/2020,Crystal Palace,Brighton,1,1,S Attwell
44,18/10/2020,Tottenham,West Ham,3,3,P Tierney
45,18/10/2020,Leicester,Aston Villa,0,1,J Moss
46,19/10/2020,West Brom,Burnley,0,0,A Taylor
47,19/10/2020,Leeds,Wolves,0,1,D Coote
48,23/10/2020,Aston Villa,Leeds,0,3,P Tierney
49,24/10/2020,West Ham,Man City,1,1,A Taylor
50,24/10/2020,Fulham,Crystal Palace,1,2,G Scott
51,24/10/2020,Man United,Chelsea,0,0,M Atkinson
52,24/10/2020,Liverpool,Sheffield United,2,1,M Dean
53,25/10/2020,Southampton,Everton,2,0,K Friend
54,25/10/2020,Wolves,Newcastle,1,1,L Mason
55,25/10/2020,Arsenal,Leicester,0,1,C Pawson
56,26/10/2020,Brighton,West Brom,1,1,J Moss
57,26/10/2020,Burnley,Tottenham,0,1,M Oliver
58,30/10/2020,Wolves,Crystal Palace,2,0,M Atkinson
59,31/10/2020,Sheffield United,Man City,0,1,M Oliver
60,31/10/2020,Burnley,Chelsea,0,3,D Coote
61,31/10/2020,Liverpool,West Ham,2,1,K Friend
62,01/11/2020,Aston Villa,Southampton,3,4,D England
63,01/11/2020,Newcastle,Everton,2,1,S Attwell
64,01/11/2020,Man United,Arsenal,0,1,M Dean
65,01/11/2020,Tottenham,Brighton,2,1,G Scott
66,02/11/2020,Fulham,West Brom,2,0,S Hooper
67,02/11/2020,Leeds,Leicester,1,4,A Marriner
68,06/11/2020,Brighton,Burnley,0,0,M Dean
69,06/11/2020,Southampton,Newcastle,2,0,P Bankes
70,07/11/2020,Everton,Man United,1,3,P Tierney
71,07/11/2020,Crystal Palace,Leeds,4,1,C Kavanagh
72,07/11/2020,Chelsea,Sheffield United,4,1,J Moss
73,07/11/2020,West Ham,Fulham,1,0,R Jones
74,08/11/2020,West Brom,Tottenham,0,1,A Madley
75,08/11/2020,Leicester,Wolves,1,0,A Taylor
76,08/11/2020,Man City,Liverpool,1,1,C Pawson
77,08/11/2020,Arsenal,Aston Villa,0,3,M Atkinson
78,21/11/2020,Newcastle,Chelsea,0,2,C Pawson
79,21/11/2020,Aston Villa,Brighton,1,2,M Oliver
80,21/11/2020,Tottenham,Man City,2,0,M Dean
81,21/11/2020,Man United,West Brom,1,0,D Coote
82,22/11/2020,Fulham,Everton,2,3,A Madley
83,22/11/2020,Sheffield United,West Ham,0,1,M Atkinson
84,22/11/2020,Leeds,Arsenal,0,0,A Taylor
85,22/11/2020,Liverpool,Leicester,3,0,C Kavanagh
86,23/11/2020,Burnley,Crystal Palace,1,0,K Friend
87,23/11/2020,Wolves,Southampton,1,1,A Marriner
88,27/11/2020,Crystal Palace,Newcastle,0,2,G Scott
89,28/11/2020,Brighton,Liverpool,1,1,S Attwell
90,28/11/2020,Man City,Burnley,5,0,L Mason
91,28/11/2020,Everton,Leeds,0,1,C Kavanagh
92,28/11/2020,West Brom,Sheffield United,1,0,M Dean
93,29/11/2020,Southampton,Man United,2,3,J Moss
94,29/11/2020,Chelsea,Tottenham,0,0,P Tierney
95,29/11/2020,Arsenal,Wolves,1,2,M Oliver
96,30/11/2020,Leicester,Fulham,1,2,S Hooper
97,30/11/2020,West Ham,Aston Villa,2,1,P Bankes
98,05/12/2020,Burnley,Everton,1,1,A Taylor
99,05/12/2020,Man City,Fulham,2,0,J Moss
100,05/12/2020,West Ham,Man United,1,3,A Marriner
101,05/12/2020,Chelsea,Leeds,3,1,K Friend
102,06/12/2020,West Brom,Crystal Palace,1,5,P Tierney
103,06/12/2020,Sheffield United,Leicester,1,2,S Attwell
104,06/12/2020,Tottenham,Arsenal,2,0,M Atkinson
105,06/12/2020,Liverpool,Wolves,4,0,C Pawson
106,07/12/2020,Brighton,Southampton,1,2,D Coote
107,11/12/2020,Leeds,West Ham,1,2,M Oliver
108,12/12/2020,Wolves,Aston Villa,0,1,M Dean
109,12/12/2020,Newcastle,West Brom,2,1,D England
110,12/12/2020,Man United,Man City,0,0,C Kavanagh
111,12/12/2020,Everton,Chelsea,1,0,J Moss
112,13/12/2020,Southampton,Sheffield United,3,0,A Madley
113,13/12/2020,Crystal Palace,Tottenham,1,1,K Friend
114,13/12/2020,Fulham,Liverpool,1,1,A Marriner
115,13/12/2020,Arsenal,Burnley,0,1,G Scott
116,13/12/2020,Leicester,Brighton,3,0,M Atkinson
117,15/12/2020,Wolves,Chelsea,2,1,S Attwell
118,15/12/2020,Man City,West Brom,1,1,P Bankes
119,16/12/2020,Arsenal,Southampton,1,1,P Tierney
120,16/12/2020,Leeds,Newcastle,5,2,S Hooper
121,16/12/2020,Leicester,Everton,0,2,L Mason
122,16/12/2020,Fulham,Brighton,0,0,R Jones
123,16/12/2020,Liverpool,Tottenham,2,1,A Taylor
124,16/12/2020,West Ham,Crystal Palace,1,1,D Coote
125,17/12/2020,Aston Villa,Burnley,0,0,C Pawson
126,17/12/2020,Sheffield United,Man United,2,3,M Oliver
127,19/12/2020,Crystal Palace,Liverpool,0,7,J Moss
128,19/12/2020,Southampton,Man City,0,1,M Dean
129,19/12/2020,Everton,Arsenal,2,1,A Marriner
130,19/12/2020,Newcastle,Fulham,1,1,G Scott
131,20/12/2020,Brighton,Sheffield United,1,1,P Bankes
132,20/12/2020,Tottenham,Leicester,0,2,C Pawson
133,20/12/2020,Man United,Leeds,6,2,A Taylor
134,20/12/2020,West Brom,Aston Villa,0,3,M Atkinson
135,21/12/2020,Burnley,Wolves,2,1,L Mason
136,21/12/2020,Chelsea,West Ham,3,0,C Kavanagh
137,26/12/2020,Leicester,Man United,2,2,M Dean
138,26/12/2020,Aston Villa,Crystal Palace,3,0,A Taylor
139,26/12/2020,Fulham,Southampton,0,0,D England
140,26/12/2020,Arsenal,Chelsea,3,1,M Oliver
141,26/12/2020,Man City,Newcastle,2,0,A Marriner
142,26/12/2020,Sheffield United,Everton,0,1,D Coote
143,27/12/2020,Leeds,Burnley,1,0,R Jones
144,27/12/2020,West Ham,Brighton,2,2,S Hooper
145,27/12/2020,Liverpool,West Brom,1,1,K Friend
146,27/12/2020,Wolves,Tottenham,1,1,P Tierney
147,28/12/2020,Crystal Palace,Leicester,1,1,G Scott
148,28/12/2020,Chelsea,Aston Villa,1,1,S Attwell
149,29/12/2020,Brighton,Arsenal,0,1,M Atkinson
150,29/12/2020,Burnley,Sheffield United,1,0,C Kavanagh
151,29/12/2020,Southampton,West Ham,0,0,A Madley
152,29/12/2020,West Brom,Leeds,0,5,L Mason
153,29/12/2020,Man United,Wolves,1,0,J Moss
154,30/12/2020,Newcastle,Liverpool,0,0,P Tierney
155,01/01/2021,Everton,West Ham,0,1,K Friend
156,01/01/2021,Man United,Aston Villa,2,1,M Oliver
157,02/01/2021,Tottenham,Leeds,3,0,D Coote
158,02/01/2021,Crystal Palace,Sheffield United,2,0,S Attwell
159,02/01/2021,Brighton,Wolves,3,3,A Madley
160,02/01/2021,West Brom,Arsenal,0,4,M Atkinson
161,03/01/2021,Newcastle,Leicester,1,2,R Jones
162,03/01/2021,Chelsea,Man City,1,3,A Taylor
163,04/01/2021,Southampton,Liverpool,1,0,A Marriner
164,12/01/2021,Sheffield United,Newcastle,1,0,A Madley
165,12/01/2021,Burnley,Man United,0,1,K Friend
166,12/01/2021,Wolves,Everton,1,2,M Atkinson
167,13/01/2021,Man City,Brighton,1,0,D England
168,13/01/2021,Tottenham,Fulham,1,1,P Tierney
169,14/01/2021,Arsenal,Crystal Palace,0,0,A Marriner
170,16/01/2021,Wolves,West Brom,2,3,M Oliver
171,16/01/2021,Leeds,Brighton,0,1,K Friend
172,16/01/2021,West Ham,Burnley,1,0,C Kavanagh
173,16/01/2021,Fulham,Chelsea,0,1,P Bankes
174,16/01/2021,Leicester,Southampton,2,0,S Attwell
175,17/01/2021,Sheffield United,Tottenham,1,3,A Marriner
176,17/01/2021,Liverpool,Man United,0,0,P Tierney
177,17/01/2021,Man City,Crystal Palace,4,0,L Mason
178,18/01/2021,Arsenal,Newcastle,3,0,D Coote
179,19/01/2021,West Ham,West Brom,2,1,G Scott
180,19/01/2021,Leicester,Chelsea,2,0,C Pawson
181,20/01/2021,Man City,Aston Villa,2,0,J Moss
182,20/01/2021,Fulham,Man United,1,2,M Atkinson
183,21/01/2021,Liverpool,Burnley,0,1,M Dean
184,23/01/2021,Aston Villa,Newcastle,2,0,S Hooper
185,26/01/2021,Crystal Palace,West Ham,2,3,S Attwell
186,26/01/2021,Newcastle,Leeds,1,2,A Taylor
187,26/01/2021,Southampton,Arsenal,1,3,K Friend
188,26/01/2021,West Brom,Man City,0,5,C Kavanagh
189,27/01/2021,Burnley,Aston Villa,3,2,P Tierney
190,27/01/2021,Chelsea,Wolves,0,0,A Madley
191,27/01/2021,Brighton,Fulham,0,0,C Pawson
192,27/01/2021,Everton,Leicester,1,1,M Dean
193,27/01/2021,Man United,Sheffield United,1,2,P Bankes
194,28/01/2021,Tottenham,Liverpool,1,3,M Atkinson
195,30/01/2021,Everton,Newcastle,0,2,S Attwell
196,30/01/2021,Crystal Palace,Wolves,1,0,S Hooper
197,30/01/2021,Man City,Sheffield United,1,0,D Coote
198,30/01/2021,West Brom,Fulham,2,2,A Taylor
199,30/01/2021,Arsenal,Man United,0,0,M Oliver
200,30/01/2021,Southampton,Aston Villa,0,1,L Mason
201,31/01/2021,Chelsea,Burnley,2,0,G Scott
202,31/01/2021,Leicester,Leeds,1,3,C Kavanagh
203,31/01/2021,West Ham,Liverpool,1,3,J Moss
204,31/01/2021,Brighton,Tottenham,1,0,P Bankes
205,02/02/2021,Sheffield United,West Brom,2,1,P Tierney
206,02/02/2021,Wolves,Arsenal,2,1,C Pawson
207,02/02/2021,Man United,Southampton,9,0,M Dean
208,02/02/2021,Newcastle,Crystal Palace,1,2,D England
209,03/02/2021,Burnley,Man City,0,2,M Atkinson
210,03/02/2021,Fulham,Leicester,0,2,R Jones
211,03/02/2021,Leeds,Everton,1,2,M Oliver
212,03/02/2021,Aston Villa,West Ham,1,3,A Madley
213,03/02/2021,Liverpool,Brighton,0,1,K Friend
214,04/02/2021,Tottenham,Chelsea,0,1,A Marriner
215,06/02/2021,Aston Villa,Arsenal,1,0,C Kavanagh
216,06/02/2021,Burnley,Brighton,1,1,A Taylor
217,06/02/2021,Newcastle,Southampton,3,2,C Pawson
218,06/02/2021,Fulham,West Ham,0,0,M Dean
219,06/02/2021,Man United,Everton,3,3,J Moss
220,07/02/2021,Tottenham,West Brom,2,0,S Attwell
221,07/02/2021,Wolves,Leicester,0,0,M Atkinson
222,07/02/2021,Liverpool,Man City,1,4,M Oliver
223,07/02/2021,Sheffield United,Chelsea,1,2,K Friend
224,08/02/2021,Leeds,Crystal Palace,2,0,A Marriner
225,13/02/2021,Leicester,Liverpool,3,1,A Taylor
226,13/02/2021,Crystal Palace,Burnley,0,3,M Oliver
227,13/02/2021,Man City,Tottenham,3,0,P Tierney
228,13/02/2021,Brighton,Aston Villa,0,0,D England
229,14/02/2021,Southampton,Wolves,1,2,G Scott
230,14/02/2021,West Brom,Man United,1,1,C Pawson
231,14/02/2021,Arsenal,Leeds,4,2,S Attwell
232,14/02/2021,Everton,Fulham,0,2,A Madley
233,15/02/2021,West Ham,Sheffield United,3,0,S Hooper
234,15/02/2021,Chelsea,Newcastle,2,0,P Bankes
235,17/02/2021,Burnley,Fulham,1,1,J Moss
236,17/02/2021,Everton,Man City,1,3,A Marriner
237,19/02/2021,Wolves,Leeds,1,0,D Coote
238,20/02/2021,Southampton,Chelsea,1,1,A Taylor
239,20/02/2021,Burnley,West Brom,0,0,M Dean
240,20/02/2021,Liverpool,Everton,0,2,C Kavanagh
241,20/02/2021,Fulham,Sheffield United,1,0,M Atkinson
242,21/02/2021,West Ham,Tottenham,2,1,C Pawson
243,21/02/2021,Aston Villa,Leicester,1,2,M Oliver
244,21/02/2021,Arsenal,Man City,0,1,J Moss
245,21/02/2021,Man United,Newcastle,3,1,P Tierney
246,22/02/2021,Brighton,Crystal Palace,1,2,K Friend
247,23/02/2021,Leeds,Southampton,3,0,A Marriner
248,27/02/2021,Man City,West Ham,2,1,M Oliver
249,27/02/2021,West Brom,Brighton,1,0,L Mason
250,27/02/2021,Leeds,Aston Villa,0,1,P Bankes
251,27/02/2021,Newcastle,Wolves,1,1,M Dean
252,28/02/2021,Crystal Palace,Fulham,0,0,A Taylor
253,28/02/2021,Leicester,Arsenal,1,3,P Tierney
254,28/02/2021,Tottenham,Burnley,4,0,K Friend
255,28/02/2021,Chelsea,Man United,0,0,S Attwell
256,28/02/2021,Sheffield United,Liverpool,0,2,J Moss
257,01/03/2021,Everton,Southampton,1,0,M Atkinson
258,02/03/2021,Man City,Wolves,4,1,C Kavanagh
259,03/03/2021,Burnley,Leicester,1,1,A Madley
260,03/03/2021,Sheffield United,Aston Villa,1,0,R Jones
261,03/03/2021,Crystal Palace,Man United,0,0,A Marriner
262,04/03/2021,Fulham,Tottenham,0,1,D Coote
263,04/03/2021,West Brom,Everton,0,1,D England
264,04/03/2021,Liverpool,Chelsea,0,1,M Atkinson
265,06/03/2021,Burnley,Arsenal,1,1,A Marriner
266,06/03/2021,Sheffield United,Southampton,0,2,P Tierney
267,06/03/2021,Aston Villa,Wolves,0,0,A Madley
268,06/03/2021,Brighton,Leicester,1,2,M Oliver
269,07/03/2021,West Brom,Newcastle,0,0,M Atkinson
270,07/03/2021,Liverpool,Fulham,0,1,K Friend
271,07/03/2021,Man City,Man United,0,2,A Taylor
272,07/03/2021,Tottenham,Crystal Palace,4,1,S Attwell
273,08/03/2021,Chelsea,Everton,2,0,D Coote
274,08/03/2021,West Ham,Leeds,2,0,M Dean
275,10/03/2021,Man City,Southampton,5,2,J Moss
276,12/03/2021,Newcastle,Aston Villa,1,1,P Tierney
277,13/03/2021,Leeds,Chelsea,0,0,K Friend
278,13/03/2021,Crystal Palace,West Brom,1,0,S Hooper
279,13/03/2021,Everton,Burnley,1,2,J Moss
280,13/03/2021,Fulham,Man City,0,3,A Marriner
281,14/03/2021,Southampton,Brighton,1,2,S Attwell
282,14/03/2021,Leicester,Sheffield United,5,0,P Bankes
283,14/03/2021,Arsenal,Tottenham,2,1,M Oliver
284,14/03/2021,Man United,West Ham,1,0,M Atkinson
285,15/03/2021,Wolves,Liverpool,0,1,C Pawson
