,Date,HomeTeam,AwayTeam,FTHG,FTAG,Referee
106,02/11/2019,West Ham,Newcastle,2,3,S Attwell
107,02/11/2019,Watford,Chelsea,1,2,A Taylor
108,03/11/2019,Crystal Palace,Leicester,0,2,P Tierney
109,03/11/2019,Everton,Tottenham,1,1,M Atkinson
110,08/11/2019,Norwich,Watford,0,2,A Marriner
111,09/11/2019,Chelsea,Crystal Palace,2,0,M Dean
112,09/11/2019,Burnley,West Ham,3,0,K Friend
113,09/11/2019,Newcastle,Bournemouth,2,1,M Atkinson
114,09/11/2019,Southampton,Everton,1,2,P Tierney
115,09/11/2019,Tottenham,Sheffield United,1,1,G Scott
116,09/11/2019,Leicester,Arsenal,2,0,C Kavanagh
117,10/11/2019,Man United,Brighton,3,1,J Moss
118,10/11/2019,Wolves,Aston Villa,2,1,A Taylor
119,10/11/2019,Liverpool,Man City,3,1,M Oliver
120,23/11/2019,West Ham,Tottenham,2,3,M Oliver
121,23/11/2019,Arsenal,Southampton,2,2,S Attwell
122,23/11/2019,Bournemouth,Wolves,1,2,S Hooper
123,23/11/2019,Brighton,Leicester,0,2,M Dean
124,23/11/2019,Crystal Palace,Liverpool,1,2,K Friend
125,23/11/2019,Everton,Norwich,0,2,A Taylor
126,23/11/2019,Watford,Burnley,0,3,P Tierney
127,23/11/2019,Man City,Chelsea,2,1,M Atkinson
128,24/11/2019,Sheffield United,Man United,3,3,A Marriner
129,25/11/2019,Aston Villa,Newcastle,2,0,L Mason
130,30/11/2019,Newcastle,Man City,2,2,C Kavanagh
131,30/11/2019,Burnley,Crystal Palace,0,2,P Bankes
132,30/11/2019,Chelsea,West Ham,0,1,J Moss
133,30/11/2019,Liverpool,Brighton,2,1,M Atkinson
134,30/11/2019,Tottenham,Bournemouth,3,2,L Mason
135,30/11/2019,Southampton,Watford,2,1,M Oliver
136,01/12/2019,Norwich,Arsenal,2,2,P Tierney
137,01/12/2019,Wolves,Sheffield United,1,1,D Coote
138,01/12/2019,Leicester,Everton,2,1,G Scott
