,Date,HomeTeam,AwayTeam,FTHG,FTAG,Referee
113,10/11/18,Leicester,Burnley,0,0,M Dean
114,10/11/18,Newcastle,Bournemouth,2,1,L Probert
115,10/11/18,Southampton,Watford,1,1,S Hooper
116,11/11/18,Arsenal,Wolves,1,1,S Attwell
117,11/11/18,Chelsea,Everton,0,0,K Friend
118,11/11/18,Liverpool,Fulham,2,0,P Tierney
119,11/11/18,Man City,Man United,3,1,A Taylor
120,24/11/18,Brighton,Leicester,1,1,C Kavanagh
121,24/11/18,Everton,Cardiff,1,0,P Tierney
122,24/11/18,Fulham,Southampton,3,2,M Oliver
123,24/11/18,Man United,Crystal Palace,0,0,L Mason
124,24/11/18,Tottenham,Chelsea,3,1,M Atkinson
125,24/11/18,Watford,Liverpool,0,3,J Moss
126,24/11/18,West Ham,Man City,0,4,A Marriner
127,25/11/18,Bournemouth,Arsenal,1,2,C Pawson
128,25/11/18,Wolves,Huddersfield,0,2,K Friend
129,26/11/18,Burnley,Newcastle,1,2,A Taylor
130,30/11/18,Cardiff,Wolves,2,1,A Marriner
131,01/12/18,Crystal Palace,Burnley,2,0,L Probert
132,01/12/18,Huddersfield,Brighton,1,2,M Oliver
133,01/12/18,Leicester,Watford,2,0,G Scott
134,01/12/18,Man City,Bournemouth,3,1,S Attwell
135,01/12/18,Newcastle,West Ham,0,3,P Tierney
136,01/12/18,Southampton,Man United,2,2,K Friend
137,02/12/18,Arsenal,Tottenham,4,2,M Dean
138,02/12/18,Chelsea,Fulham,2,0,C Pawson
139,02/12/18,Liverpool,Everton,1,0,C Kavanagh
140,04/12/18,Bournemouth,Huddersfield,2,1,R East
141,04/12/18,Brighton,Crystal Palace,3,1,K Friend
142,04/12/18,Watford,Man City,1,2,P Tierney
143,04/12/18,West Ham,Cardiff,3,1,G Scott
144,05/12/18,Burnley,Liverpool,1,3,S Attwell
145,05/12/18,Everton,Newcastle,1,1,L Mason
146,05/12/18,Fulham,Leicester,1,1,D Coote
147,05/12/18,Man United,Arsenal,2,2,A Marriner
148,05/12/18,Tottenham,Southampton,3,1,A Taylor
149,05/12/18,Wolves,Chelsea,2,1,J Moss
150,08/12/18,Arsenal,Huddersfield,1,0,P Tierney
151,08/12/18,Bournemouth,Liverpool,0,4,L Mason
152,08/12/18,Burnley,Brighton,1,0,M Atkinson
153,08/12/18,Cardiff,Southampton,1,0,J Moss
154,08/12/18,Chelsea,Man City,2,0,M Oliver
155,08/12/18,Leicester,Tottenham,0,2,C Pawson
156,08/12/18,Man United,Fulham,4,1,L Probert
157,08/12/18,West Ham,Crystal Palace,3,2,A Taylor
158,09/12/18,Newcastle,Wolves,1,2,M Dean
159,10/12/18,Everton,Watford,2,2,K Friend
