,Date,HomeTeam,AwayTeam,FTHG,FTAG,Referee
0,10/08/18,Man United,Leicester,2,1,A Marriner
1,11/08/18,Bournemouth,Cardiff,2,0,K Friend
2,11/08/18,Fulham,Crystal Palace,0,2,M Dean
3,11/08/18,Huddersfield,Chelsea,0,3,C Kavanagh
4,11/08/18,Newcastle,Tottenham,1,2,M Atkinson
5,11/08/18,Watford,Brighton,2,0,J Moss
6,11/08/18,Wolves,Everton,2,2,C Pawson
7,12/08/18,Arsenal,Man City,0,2,M Oliver
8,12/08/18,Liverpool,West Ham,4,0,A Taylor
9,12/08/18,Southampton,Burnley,0,0,G Scott
10,18/08/18,Cardiff,Newcastle,0,0,C Pawson
11,18/08/18,Chelsea,Arsenal,3,2,M Atkinson
12,18/08/18,Everton,Southampton,2,1,L Mason
13,18/08/18,Leicester,Wolves,2,0,M Dean
14,18/08/18,Tottenham,Fulham,3,1,A Taylor
15,18/08/18,West Ham,Bournemouth,1,2,S Attwell
16,19/08/18,Brighton,Man United,3,2,K Friend
17,19/08/18,Burnley,Watford,1,3,P Tierney
18,19/08/18,Man City,Huddersfield,6,1,A Marriner
19,20/08/18,Crystal Palace,Liverpool,0,2,M Oliver
20,25/08/18,Arsenal,West Ham,3,1,G Scott
21,25/08/18,Bournemouth,Everton,2,2,L Probert
22,25/08/18,Huddersfield,Cardiff,0,0,M Oliver
23,25/08/18,Liverpool,Brighton,1,0,C Kavanagh
24,25/08/18,Southampton,Leicester,1,2,J Moss
25,25/08/18,Wolves,Man City,1,1,M Atkinson
26,26/08/18,Fulham,Burnley,4,2,D Coote
27,26/08/18,Newcastle,Chelsea,1,2,P Tierney
28,26/08/18,Watford,Crystal Palace,2,1,A Taylor
29,27/08/18,Man United,Tottenham,0,3,C Pawson
30,01/09/18,Brighton,Fulham,2,2,L Probert
31,01/09/18,Chelsea,Bournemouth,2,0,L Mason
32,01/09/18,Crystal Palace,Southampton,0,2,M Atkinson
33,01/09/18,Everton,Huddersfield,1,1,S Attwell
34,01/09/18,Leicester,Liverpool,1,2,P Tierney
35,01/09/18,Man City,Newcastle,2,1,K Friend
36,01/09/18,West Ham,Wolves,0,1,C Kavanagh
37,02/09/18,Burnley,Man United,0,2,J Moss
38,02/09/18,Cardiff,Arsenal,2,3,A Taylor
39,02/09/18,Watford,Tottenham,2,1,A Marriner
40,15/09/18,Bournemouth,Leicester,4,2,C Pawson
41,15/09/18,Chelsea,Cardiff,4,1,J Moss
42,15/09/18,Huddersfield,Crystal Palace,0,1,L Mason
43,15/09/18,Man City,Fulham,3,0,S Attwell
44,15/09/18,Newcastle,Arsenal,1,2,L Probert
45,15/09/18,Tottenham,Liverpool,1,2,M Oliver
46,15/09/18,Watford,Man United,1,2,M Dean
47,16/09/18,Everton,West Ham,1,3,M Atkinson
48,16/09/18,Wolves,Burnley,1,0,A Marriner
49,17/09/18,Southampton,Brighton,2,2,A Taylor
50,22/09/18,Brighton,Tottenham,1,2,C Kavanagh
51,22/09/18,Burnley,Bournemouth,4,0,A Taylor
52,22/09/18,Cardiff,Man City,0,5,M Oliver
53,22/09/18,Crystal Palace,Newcastle,0,0,A Marriner
54,22/09/18,Fulham,Watford,1,1,M Atkinson
55,22/09/18,Leicester,Huddersfield,3,1,D Coote
56,22/09/18,Liverpool,Southampton,3,0,P Tierney
57,22/09/18,Man United,Wolves,1,1,K Friend
58,23/09/18,Arsenal,Everton,2,0,J Moss
59,23/09/18,West Ham,Chelsea,0,0,M Dean
60,29/09/18,Arsenal,Watford,2,0,A Taylor
61,29/09/18,Chelsea,Liverpool,1,1,A Marriner
62,29/09/18,Everton,Fulham,3,0,R East
63,29/09/18,Huddersfield,Tottenham,0,2,C Pawson
64,29/09/18,Man City,Brighton,2,0,L Mason
65,29/09/18,Newcastle,Leicester,0,2,S Hooper
66,29/09/18,West Ham,Man United,3,1,M Oliver
67,29/09/18,Wolves,Southampton,2,0,S Attwell
68,30/09/18,Cardiff,Burnley,1,2,M Atkinson
69,01/10/18,Bournemouth,Crystal Palace,2,1,M Dean
70,05/10/18,Brighton,West Ham,1,0,K Friend
71,06/10/18,Burnley,Huddersfield,1,1,C Kavanagh
72,06/10/18,Crystal Palace,Wolves,0,1,M Oliver
73,06/10/18,Leicester,Everton,1,2,A Marriner
74,06/10/18,Man United,Newcastle,3,2,A Taylor
75,06/10/18,Tottenham,Cardiff,1,0,M Dean
76,06/10/18,Watford,Bournemouth,0,4,J Moss
77,07/10/18,Fulham,Arsenal,1,5,P Tierney
78,07/10/18,Liverpool,Man City,0,0,M Atkinson
79,07/10/18,Southampton,Chelsea,0,3,C Pawson
80,20/10/18,Bournemouth,Southampton,0,0,L Probert
81,20/10/18,Cardiff,Fulham,4,2,K Friend
82,20/10/18,Chelsea,Man United,2,2,M Dean
83,20/10/18,Huddersfield,Liverpool,0,1,M Oliver
84,20/10/18,Man City,Burnley,5,0,J Moss
85,20/10/18,Newcastle,Brighton,0,1,A Marriner
86,20/10/18,West Ham,Tottenham,0,1,M Atkinson
87,20/10/18,Wolves,Watford,0,2,L Mason
88,21/10/18,Everton,Crystal Palace,2,0,A Taylor
89,22/10/18,Arsenal,Leicester,3,1,C Kavanagh
90,27/10/18,Brighton,Wolves,1,0,A Taylor
91,27/10/18,Fulham,Bournemouth,0,3,A Marriner
92,27/10/18,Leicester,West Ham,1,1,M Oliver
93,27/10/18,Liverpool,Cardiff,4,1,S Attwell
94,27/10/18,Southampton,Newcastle,0,0,C Kavanagh
95,27/10/18,Watford,Huddersfield,3,0,M Dean
96,28/10/18,Burnley,Chelsea,0,4,C Pawson
97,28/10/18,Crystal Palace,Arsenal,2,2,M Atkinson
98,28/10/18,Man United,Everton,2,1,J Moss
99,29/10/18,Tottenham,Man City,0,1,K Friend
100,03/11/18,Arsenal,Liverpool,1,1,A Marriner
101,03/11/18,Bournemouth,Man United,1,2,P Tierney
102,03/11/18,Cardiff,Leicester,0,1,L Probert
103,03/11/18,Everton,Brighton,3,1,D Coote
104,03/11/18,Newcastle,Watford,1,0,C Pawson
105,03/11/18,West Ham,Burnley,4,2,R East
106,03/11/18,Wolves,Tottenham,2,3,M Dean
107,04/11/18,Chelsea,Crystal Palace,3,1,M Oliver
108,04/11/18,Man City,Southampton,6,1,L Mason
109,05/11/18,Huddersfield,Fulham,1,0,A Taylor
110,10/11/18,Cardiff,Brighton,2,1,M Atkinson
111,10/11/18,Crystal Palace,Tottenham,0,1,J Moss
112,10/11/18,Huddersfield,West Ham,1,1,C Kavanagh
